关键词,词频
开发,1573.0
熟悉,1350.0
经验,1148.0
技术,826.0
设计,726.0
工作,690.0
能力,675.0
系统,587.0
优先,555.0
职位,549.0
描述,505.0
使用,488.0
负责,452.0
框架,441.0
Java,429.0
数据库,428.0
相关,416.0
以上,410.0
良好,379.0
项目,355.0
熟练,350.0
精通,349.0
要求,337.0
团队,335.0
应用,316.0
具有,316.0
产品,286.0
分析,258.0
完成,254.0
业务,254.0
优化,250.0
了解,249.0
任职,247.0
需求,245.0
Spring,238.0
进行,234.0
代码,231.0
岗位职责,221.0
参与,218.0
熟练掌握,218.0
具备,217.0
编程,216.0
常用,213.0
沟通,203.0
编写,202.0
开源,201.0
互联网,198.0
基础,194.0
以上学历,188.0
文档,179.0
架构,175.0
能够,175.0
公司,174.0
平台,172.0
学习,166.0
一定,155.0
专业,155.0
独立,154.0
以及,154.0
J2EE,154.0
性能,153.0
MySQL,151.0
扎实,148.0
设计模式,148.0
Linux,147.0
实现,147.0
SQL,142.0
问题,140.0
语言,140.0
Oracle,137.0
JAVA,135.0
本科,129.0
研发,128.0
Web,128.0
精神,128.0
主流,127.0
模块,125.0
解决,125.0
掌握,124.0
我们,124.0
java,118.0
原理,118.0
合作,118.0
维护,117.0
并发,116.0
核心,113.0
数据,111.0
编码,109.0
理解,108.0
大型,108.0
缓存,107.0
考虑,107.0
软件,103.0
责任心,102.0
多线程,101.0
功能,99.0
服务,97.0
一种,93.0
计算机相关,92.0
计算机,92.0
较强,91.0
解决问题,91.0
工具,89.0
面向对象,89.0
规范,87.0
根据,86.0
spring,86.0
测试,85.0
Hibernate,85.0
至少,84.0
架构设计,83.0
实际,83.0
任务,83.0
算法,81.0
分布式,80.0
压力,79.0
调优,79.0
协作,78.0
Struts,78.0
后台,75.0
HTML,75.0
善于,74.0
Tomcat,74.0
Redis,73.0
软件开发,71.0
岗位,71.0
网站,71.0
职责,69.0
资格,69.0
金融,69.0
习惯,69.0
SpringMVC,68.0
部署,67.0
服务器,67.0
逻辑思维,67.0
10,66.0
JavaScript,66.0
支付,66.0
三年,65.0
MVC,65.0
研究,64.0
各种,63.0
过程,63.0
Mysql,63.0
CSS,62.0
基于,62.0
mybatis,61.0
web,61.0
质量,60.0
优秀,60.0
管理,59.0
持续,58.0
网络,58.0
指导,58.0
redis,58.0
提供,57.0
配置,56.0
行业,56.0
mysql,56.0
MyBatis,56.0
协议,55.0
常见,55.0
hibernate,55.0
JSP,55.0
工程师,55.0
Javascript,54.0
承受,53.0
分布式系统,53.0
接口,53.0
其他,52.0
快速,52.0
需要,52.0
前端,52.0
专业本科,51.0
Ajax,51.0
单元测试,51.0
环境,51.0
操作系统,50.0
消息,50.0
详细,50.0
实施,50.0
拥有,49.0
WEB,49.0
方案,48.0
深入,48.0
包括,48.0
Maven,48.0
开发技术,48.0
应用服务器,47.0
制定,46.0
Mybatis,45.0
XML,44.0
机制,44.0
SVN,44.0
电商,44.0
承担,43.0
数据结构,43.0
配合,42.0
处理,41.0
存储,41.0
jquery,41.0
福利,41.0
Servlet,40.0
保证,40.0
Jquery,40.0
SSH,40.0
流程,40.0
计划,40.0
提升,39.0
MySql,39.0
高性能,38.0
强烈,38.0
稳定性,38.0
协助,37.0
思想,37.0
服务器端,37.0
意识,37.0
模式,37.0
JVM,37.0
发展,37.0
开发工具,36.0
linux,36.0
用户,36.0
JQuery,36.0
领域,36.0
服务端,36.0
and,35.0
建模,35.0
html,35.0
完善,34.0
丰富,34.0
AJAX,34.0
深刻理解,34.0
中间件,33.0
或者,33.0
积极主动,33.0
基本,33.0
知识,33.0
分享,33.0
引擎,32.0
项目管理,32.0
Eclipse,32.0
sql,32.0
自己,32.0
Nginx,32.0
技术难题,32.0
struts,31.0
tomcat,31.0
计算,31.0
调研,31.0
TCP,31.0
培训,30.0
关系,30.0
HTTP,30.0
攻关,30.0
热爱,30.0
带领,30.0
体系,30.0
复杂,29.0
通过,29.0
NoSQL,29.0
不断,29.0
Unix,29.0
挑战,29.0
可以,29.0
逻辑,29.0
UML,29.0
构建,28.0
安全,28.0
IP,28.0
撰写,28.0
mvc,28.0
深刻,28.0
js,28.0
乐于,27.0
MongoDB,27.0
程序,27.0
SOA,27.0
系统分析,27.0
重构,27.0
抗压,27.0
难点,27.0
Apache,27.0
经理,27.0
源码,27.0
毕业,27.0
11,27.0
团队精神,26.0
高质量,26.0
iBatis,26.0
提出,26.0
http,26.0
操作,26.0
海量,26.0
企业,26.0
运用,26.0
薪酬,26.0
接受,26.0
提高,26.0
现有,26.0
脚本,26.0
命令,25.0
dubbo,25.0
积极,25.0
